北京电信226,#genre#
纪实人文,http://ssrs2004.win:8888/rtp/239.112.205.204:5140
金鹰纪实,http://ssrs2004.win:8888/rtp/239.112.205.203:5140
乐游,http://ssrs2004.win:8888/rtp/239.111.205.3:5140
体育休闲,http://ssrs2004.win:8888/rtp/239.111.205.36:5140
游戏风云,http://ssrs2004.win:8888/rtp/239.111.205.4:5140

上海电信79,#genre#
CHC动作电影,http://101.83.74.79:8686/udp/239.45.0.41:5140
CHC家庭影院,http://101.83.74.79:8686/udp/239.45.0.40:5140
CHC家庭影院,http://101.83.74.79:8686/udp/239.45.1.22:5140
CHC影迷电影,http://101.83.74.79:8686/udp/239.45.0.42:5140
茶频道,http://101.83.74.79:8686/udp/239.45.3.18:5140
东方财经,http://101.83.74.79:8686/udp/239.45.0.17:5140
动漫秀场,http://101.83.74.79:8686/udp/239.45.3.134:5140
都市剧场,http://101.83.74.79:8686/udp/239.45.3.136:5140
法治天地,http://101.83.74.79:8686/udp/239.45.1.46:5140
欢笑剧场,http://101.83.74.79:8686/udp/239.45.3.196:5140
欢笑剧场4K,http://101.83.74.79:8686/udp/239.45.1.4:5140
纪实科教,http://101.83.74.79:8686/udp/239.45.1.14:5140
纪实人文,http://101.83.74.79:8686/udp/239.45.3.212:5140
金色学堂,http://101.83.74.79:8686/udp/239.45.0.9:5140
金鹰纪实,http://101.83.74.79:8686/udp/239.45.1.45:5140
快乐垂钓,http://101.83.74.79:8686/udp/239.45.3.12:5140
七彩戏剧,http://101.83.74.79:8686/udp/239.45.3.61:5140
乐游,http://101.83.74.79:8686/udp/239.45.3.135:5140
生活时尚,http://101.83.74.79:8686/udp/239.45.3.132:5140
五星体育,http://101.83.74.79:8686/udp/239.45.3.216:5140
游戏风云,http://101.83.74.79:8686/udp/239.45.3.131:5140

上海电信140,#genre#
CHC动作电影,http://58.37.82.140:56789/udp/239.45.0.41:5140
CHC家庭影院,http://58.37.82.140:56789/udp/239.45.0.40:5140
CHC家庭影院,http://58.37.82.140:56789/udp/239.45.1.22:5140
CHC影迷电影,http://58.37.82.140:56789/udp/239.45.0.42:5140
茶频道,http://58.37.82.140:56789/udp/239.45.3.18:5140
东方财经,http://58.37.82.140:56789/udp/239.45.0.17:5140
动漫秀场,http://58.37.82.140:56789/udp/239.45.3.134:5140
都市剧场,http://58.37.82.140:56789/udp/239.45.3.136:5140
法治天地,http://58.37.82.140:56789/udp/239.45.1.46:5140
